"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1","","","","Panel A: ME ","","","","","","Panel B: EP ","","",""
"2","","","Value-weighted","","Equal-weighted","","Value-weighted","","Equal-weighted","","","",""
"3","","S","M","B","S","M","B","S","M","B","S","M","B"
"4","L","2.98***","0.74","0.29","3.57***","0.78","0.36","0.28","0.77","1.19*","1.34","1.4","2.06**"
"5","t"," 2.65"," 0.72"," 0.48","3.07"," 0.74"," 0.49","0.30","0.99"," 1.87","1.26","1.55","2.29"
"6","H","5.04***","1.69*","1.62**","6***","1.7*","2.06","0.76","1.18*","1.52***","2.4**","2.45**","2.58***"
"7","t"," 2.90"," 1.87"," 2.28","2.95"," 1.85"," 1.65","0.84","1.67"," 2.73","2.12","2.49","3.03"
"8","H-L","2.06**","0.94***","1.33***","2.44**","0.92***","1.7**","0.48*","0.41*","0.34","1.06***","1.05***","0.52*"
"9","t"," 2.52"," 3.46"," 3.28","2.23"," 3.61"," 2.26","1.95","1.82"," 0.94","5.28","5.89","1.88"
"10","Alpha","2.09***","-0.12***","-0.1","2.64***","-0.13***","-0.03","0.18","0.17","-0.1","0.78***","0.78***","0.5***"
"11","t","10.00","-2.62","-1.39","9.83","-3.19","-0.29","1.40","1.18","-1.04","7.38","7.13","3.36"
"12","","","","Panel A: ME ","","","","","","Panel B: EP ","","",""
"13","","","Value-weighted","","Equal-weighted","","Value-weighted","","Equal-weighted","","","",""
"14","","S","M","B","S","M","B","S","M","B","S","M","B"
"15","L","0.71","1.17","0.37","1.91*","1.65*","1.09","2.26**","1.91**","1.51*","2.08**","1.63","1.28"
"16","t"," 0.93","1.44"," 0.41","1.93"," 1.75","1.15","2.44","2.07","1.89","2.02","1.63","1.26"
"17","H","1.49**","1.37**","1.42","2.67**","2.63***","3.28**","3.88***","4.53***","2.76***","3.91***","2.89***","3.08**"
"18","t"," 2.38","2.16"," 1.65","2.32"," 2.95","2.60","3.28","2.83","3.50","2.73","2.81","2.57"
"19","H-L","0.78**","0.2","1.05**","0.76*","0.98***","2.18***","1.63***","2.63**","1.24***","1.83***","1.26***","1.81***"
"20","t"," 2.28","0.52"," 2.35","1.89"," 6.20","3.68","4.23","2.58","3.50","3.89","3.17","3.87"
"21","Alpha","-0.07","0.04","-0.01","0.64***","0.82***","0.72***","1.73***","1.21***","0.6***","1.23***","0.65***","0.49***"
"22","t","-0.61","0.48","-0.03","2.88","11.91","4.53","9.65","5.07","4.04","8.04","8.09","2.73"
